PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9
-10.042986383161278,2.2960805187727114,2.924037586579575,4.083307373739078,-0.5125025371033178,-2.2316327617466665,0.6190166680179928,0.9094046390512484,1.7922202959800027
-9.489502401938827,3.987255648969729,3.1279483677210123,4.874493481379097,-0.11876889007033099,0.1109636376391265,1.320742804043227,1.7950144251192264,0.36911638293448495
-9.629351994026301,3.561696392785899,3.1578784093616536,4.6931829799493014,0.48432546054398,-0.6011935803328342,-0.9440909240832406,0.593342466104516,-1.4635318248481006
-9.625576113506936,3.0446988330983493,2.695375268192951,4.635827775715353,-0.19837508478096225,-1.75144227733164,-1.5599813980426658,-1.4774189781168343,-1.150923712989396
-9.28832152152136,0.4201510099216285,3.6244489694912,4.084282017067901,0.2586928207005802,-2.9544201678007083,-0.6944513628009911,-2.551775683580211,-0.26369347569841844
-6.322381570836702,-1.0685210647275154,4.885256198728124,0.22030898769782858,-2.3562104837731344,-3.1951330190167386,-0.6478223622014849,-1.8402003694723006,1.5334812285903856
-7.7682275723391765,-4.664520783753093,1.3299211563964983,1.4630563395014302,-1.5067403059155808,-3.2894684798139986,0.6228921477549038,-0.45248332162741894,1.9719073848312811
-8.01303791802789,0.23543767935388424,-2.3489966679122385,1.6534325027629269,0.1539983522315854,-2.59060058141161,2.510447891844333,1.7323561274899055,1.5648248061518524
-9.839722793258394,3.1670108486823105,4.201022051163374,-1.7253693154963448,-1.6520196778453766,-3.588140947035389,1.184678776122509,-0.962989054122086,-0.449341363198099
-7.723523928717061,2.9467823601494305,4.231640572410185,-0.8244170422413843,-1.1241176606284105,-2.3804134895304694,0.16328053998698464,-0.2689540722452422,0.2711254086451244
-7.8294342111427,0.582580061446686,4.533579663274413,-1.7651694567920488,-0.5459555129709065,-0.6208359983868017,0.4642810133184072,-1.4065510354519137,1.380483885239551
-6.771097315571479,1.278607635954575,3.091871687457886,-3.656637577964264,2.2592548947730773,-0.7661530712955243,-0.9378354611496266,-0.8827277673699594,0.556182294672001
-6.05054011407619,2.3986060957351563,2.9997549082854937,-2.1004365135075984,3.007533716323419,-0.4522448790263091,-0.3484186795603236,0.5851148931461988,-0.046975722375938854
-5.7909004130626895,0.3243399112948206,2.883136389043737,-6.097661692728409,5.613314912666435,-0.4912777738008915,-1.0115030514385273,-1.9210338407311616,1.7745637806199819
-4.886420616249599,-1.2974420363596466,1.500230651477432,-5.88221392018752,4.479612866388524,0.7352599456362574,-3.078775959623575,-1.6229146825061838,2.334386102503271
-6.4888245422201765,-3.9680022416700815,3.01489228656347,-4.738472570485974,2.63700703358864,0.23889941232302106,-0.6928890327790058,-2.2298121566365996,1.3575613718522523
